1,1,30/01/2023,15:00,true
2,2,30/01/2023,15:00,true
3,3,30/01/2023,15:00,true
4,4,30/01/2023,15:00,true
5,5,30/01/2023,15:00,true
6,6,30/01/2023,15:00,true
7,7,30/01/2023,15:00,true
8,8,30/01/2023,15:00,true
9,9,30/01/2023,15:00,true
10,10,30/01/2023,15:00,true
11,11,30/01/2023,15:00,true
12,12,30/01/2023,15:00,true
13,13,30/01/2023,15:00,true
14,14,30/01/2023,15:00,true
15,15,30/01/2023,15:00,true
16,16,30/01/2023,15:00,true
17,17,30/01/2023,15:00,true
18,18,30/01/2023,15:00,true
19,19,30/01/2023,15:00,true
20,20,30/01/2023,15:00,true
21,21,30/01/2023,15:00,true
22,22,30/01/2023,15:00,true
23,23,30/01/2023,15:00,true
24,24,30/01/2023,15:00,true
25,25,30/01/2023,15:00,true
26,26,30/01/2023,15:00,true
27,27,30/01/2023,15:00,true
28,28,30/01/2023,15:00,true
29,29,30/01/2023,15:00,true
30,30,30/01/2023,15:00,true
31,31,30/01/2023,15:00,true
32,32,30/01/2023,15:00,true
33,33,30/01/2023,15:00,true
34,34,30/01/2023,15:00,true
35,35,30/01/2023,15:00,true
36,36,30/01/2023,15:00,true
37,37,30/01/2023,15:00,true
38,38,30/01/2023,15:00,true
39,39,30/01/2023,15:00,true
40,40,30/01/2023,15:00,true
41,41,30/01/2023,15:00,true
42,42,30/01/2023,15:00,true
43,1,31/01/2023,10:00,true
44,2,31/01/2023,10:00,true
45,3,31/01/2023,10:00,true
46,4,31/01/2023,10:00,true
47,5,31/01/2023,10:00,true
48,6,31/01/2023,10:00,true
49,7,31/01/2023,10:00,true
50,8,31/01/2023,10:00,true
51,9,31/01/2023,10:00,true
52,10,31/01/2023,10:00,true
53,11,31/01/2023,10:00,true
54,12,31/01/2023,10:00,true
55,13,31/01/2023,10:00,true
56,14,31/01/2023,10:00,true
57,15,31/01/2023,10:00,true
58,16,31/01/2023,10:00,true
59,17,31/01/2023,10:00,true
60,18,31/01/2023,10:00,true
61,19,31/01/2023,10:00,true
62,20,31/01/2023,10:00,true
63,21,31/01/2023,10:00,true
64,22,31/01/2023,10:00,true
65,23,31/01/2023,10:00,true
66,24,31/01/2023,10:00,true
67,25,31/01/2023,10:00,true
68,26,31/01/2023,10:00,true
69,27,31/01/2023,10:00,true
70,28,31/01/2023,10:00,true
71,29,31/01/2023,10:00,true
72,30,31/01/2023,10:00,true
73,31,31/01/2023,10:00,true
74,32,31/01/2023,10:00,true
75,33,31/01/2023,10:00,true
76,34,31/01/2023,10:00,true
77,35,31/01/2023,10:00,true
78,36,31/01/2023,10:00,true
79,37,31/01/2023,10:00,true
80,38,31/01/2023,10:00,true
81,39,31/01/2023,10:00,true
82,40,31/01/2023,10:00,true
83,41,31/01/2023,10:00,true
84,42,31/01/2023,10:00,true
85,1,02/02/2023,08:00,true
86,2,02/02/2023,08:00,true
87,3,02/02/2023,08:00,true
88,4,02/02/2023,08:00,true
89,5,02/02/2023,08:00,true
90,6,02/02/2023,08:00,true
91,7,02/02/2023,08:00,true
92,8,02/02/2023,08:00,true
93,9,02/02/2023,08:00,true
94,10,02/02/2023,08:00,true
95,11,02/02/2023,08:00,true
96,12,02/02/2023,08:00,true
97,13,02/02/2023,08:00,true
98,14,02/02/2023,08:00,true
99,15,02/02/2023,08:00,true
100,16,02/02/2023,08:00,true
101,17,02/02/2023,08:00,true
102,18,02/02/2023,08:00,true
103,19,02/02/2023,08:00,true
104,20,02/02/2023,08:00,true
105,21,02/02/2023,08:00,true
106,22,02/02/2023,08:00,true
107,23,02/02/2023,08:00,true
108,24,02/02/2023,08:00,true
109,25,02/02/2023,08:00,true
110,26,02/02/2023,08:00,true
111,27,02/02/2023,08:00,true
112,28,02/02/2023,08:00,true
113,29,02/02/2023,08:00,true
114,30,02/02/2023,08:00,true
115,31,02/02/2023,08:00,true
116,32,02/02/2023,08:00,true
117,33,02/02/2023,08:00,true
118,34,02/02/2023,08:00,true
119,35,02/02/2023,08:00,true
120,36,02/02/2023,08:00,true
121,37,02/02/2023,08:00,true
122,38,02/02/2023,08:00,true
123,39,02/02/2023,08:00,true
124,40,02/02/2023,08:00,true
125,41,02/02/2023,08:00,true
126,42,02/02/2023,08:00,true
